ptn_id,ptn_name,kategori,kode_prodi,nama_prodi,jenjang,daya_tampung_2026,peminat_2025,rasio_keketatan,nilai_raport,estimasi_nilai_raport,jenis_portofolio
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331004,MANAJEMEN SUMBERDAYA PERAIRAN,Sarjana,50,30,0.6,75,75,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331005,PENDIDIKAN MATEMATIKA,Sarjana,50,89,1.78,76,76,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331006,PENDIDIKAN BIOLOGI,Sarjana,50,65,1.3,78,78,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331007,PENDIDIKAN KIMIA,Sarjana,48,48,1.0,76,76,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331008,BUDI DAYA PERAIRAN,Sarjana,50,14,0.28,79,79,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331009,TEKNOLOGI HASIL PERIKANAN,Sarjana,50,22,0.44,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331010,SOSIAL EKONOMI PERIKANAN,Sarjana,50,14,0.28,82,82,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331011,TEKNIK PERKAPALAN,Sarjana,40,92,2.3,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331012,PENDIDIKAN BAHASA INDONESIA,Sarjana,75,127,1.6933333333333334,82,82,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331013,AKUNTANSI,Sarjana,75,326,4.346666666666667,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331014,ILMU ADMINISTRASI NEGARA,Sarjana,75,309,4.12,78,78,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331015,ILMU PEMERINTAHAN,Sarjana,75,189,2.52,80,80,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331016,SOSIOLOGI,Sarjana,50,97,1.94,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331017,PENDIDIKAN BAHASA INGGRIS,Sarjana,75,111,1.48,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331018,MANAJEMEN,Sarjana,75,424,5.653333333333333,84,84,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331019,ILMU HUKUM,Sarjana,25,251,10.04,89,89,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331020,ILMU HUBUNGAN INTERNASIONAL,Sarjana,58,99,1.706896551724138,82,82,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331021,KEDOKTERAN,Sarjana,25,289,11.56,87,87,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331022,TEKNIK INDUSTRI,Sarjana,40,163,4.075,80,80,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331023,KIMIA,Sarjana,48,35,0.7291666666666666,79,79,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331024,BISNIS DIGITAL,Sarjana,75,129,1.72,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331025,KEWIRAUSAHAAN,Sarjana,25,76,3.04,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331026,"KAJIAN FILM, TELEVISI, DAN MEDIA",Sarjana,50,46,0.92,78,78,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331027,PERENCANAAN WILAYAH DAN KOTA,Sarjana,25,0,0.0,81,81,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331028,TEKNIK SIPIL,Sarjana,30,0,0.0,82,82,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331029,PENDIDIKAN FISIKA,Sarjana,25,0,0.0,75,75,Tidak Ada
133,UNIVERSITAS MARITIM RAJA ALI HAJI,Akademik,11331030,ARSITEKTUR,Sarjana,25,0,0.0,76,76,Tidak Ada
141,UNIVERSITAS ANDALAS,Akademik,11411001,AGRIBISNIS,Sarjana,80,452,5.65,85,85,Tidak Ada
