id,univ,prodi,kode,jenjang,kelompok,rumpun_ilmu,prov,itk,keketatan_2025,rataan,point,passing_grade_est,pg_batas_bawah,pg_batas_atas,level,daya_tampung_2026,peminat_2025,mu1,mu2,mu3,mu4,mu5,mu6,mu7,pmu1,pmu2,pmu3,pmu4,pmu5,pmu6,pmu7,ukt1,ukt2,ukt3,ukt4,ukt5,ukt_min,ukt_max
f1cee15b-8332-40d1-9072-f988c09cb8a0,UNIVERSITAS PATTIMURA,TEK. HASIL PERTANIAN,18111007,S1,Saintek,Saintek-Teknik,Maluku,75,1.3333,472.70,467.30,470,465,475,C3,12,16,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f1d2d99c-0cca-4ec4-b52b-f3bd799f7504,UIN SUMATERA UTARA,FISIKA,11231005,S1,Saintek,Saintek-Sains,Sumatera Utara,200,0.5000,472.70,467.30,470,465,475,C2,18,9,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,025,000.00","Rp15,895,000.00","Rp18,700,000.00",500000.0,18700000.0
f1d84acf-f45f-44ca-8d93-ef0c22f77010,UNIVERSITAS SAMUDRA,AGROTEKNOLOGI,11141001,S1,Saintek,Saintek-Pertanian,Aceh,35.29,2.8333,492.70,487.30,490,485,495,D,48,136,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f1daa60a-287c-4082-9574-610946f18c12,UNIVERSITAS LAMBUNG MANGKURAT,KEPERAWATAN,15311030,S1,Saintek,Saintek-Kesehatan,Kalimantan Selatan,11.65,8.5833,567.70,562.30,565,560,570,B1,60,515,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp12,544,538.00","Rp14,217,143.00","Rp16,726,050.00",500000.0,16726050.0
f1f0d292-6ac1-49d2-bb36-256e3d8c4979,UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN MATEMATIKA,15511005,S1,Saintek,Soshum-Pendidikan,Kalimantan Utara,336.36,0.2973,472.70,467.30,470,465,475,D,37,11,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f212b0cb-1da0-4e45-b553-c52225eab9bc,UIN JAKARTA,ILMU HUKUM,13221022,S1,Soshum,Soshum-Hukum,Banten,17.4,5.7476,537.70,532.30,535,530,540,A3,103,592,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,625,000.00","Rp16,575,000.00","Rp19,500,000.00",500000.0,19500000.0
f249af3c-11ab-42c0-87e0-a6342a843f2c,UNIVERSITAS SULTAN AGENG TIRTAYASA,KEDOKTERAN,13111020,S1,Saintek,Saintek-Kesehatan,Banten,3.42,29.2143,652.70,647.30,650,645,655,A1,28,818,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp30,047,429.00","Rp34,053,752.00","Rp40,063,238.00",500000.0,40063238.0
f2670cd3-2668-4557-afdf-1271c868bc91,UIN SUNAN AMPEL SURABAYA,ARSITEKTUR,13861003,S1,Saintek,Saintek-Teknik,Jawa Timur,58.56,1.7077,482.70,477.30,480,475,485,B2,65,111,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.11,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp14,625,000.00","Rp16,575,000.00","Rp19,500,000.00",500000.0,19500000.0
f26d18f8-c834-4987-a131-6bc4e7133136,UNIVERSITAS MUSAMUS MERAUKE,ARSITEKTUR,19121004,S1,Saintek,Saintek-Teknik,Papua Selatan,371.43,0.2692,472.70,467.30,470,465,475,C3,26,7,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f26f9c77-df9a-4703-886b-ec29de03e639,UNIVERSITAS PADJADJARAN,BISNIS DIGITAL,13331064,S1,Soshum,Saintek-IT,Jawa Barat,1.77,56.4595,712.70,707.30,710,705,715,A1,37,2089,PBM,PU,PPU,PK,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f27efe42-ac93-43d0-96e1-41736529622d,UNIVERSITAS SUMATERA UTARA,TEKNIK KIMIA,11211006,S1,Saintek,Saintek-Teknik,Sumatera Utara,7.49,13.3590,597.70,592.30,595,590,600,A3,39,521,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp13,727,062.00","Rp15,557,337.00","Rp18,302,749.00",500000.0,18302749.0
f2924ec0-01aa-4ef5-80c9-0fea01b01328,UNIVERSITAS JAMBI,MANAJEMEN PEMERINTAHAN,11512058,D4,Soshum,Soshum-Ekonomi,Jambi,3.57,28.0278,652.70,647.30,650,645,655,C2,36,1009,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f2b27c32-1ea2-48ca-b08e-cbeed716c0f5,"UPN """"VETERAN"""" JAKARTA",KEPERAWATAN,13241007,S1,Saintek,Saintek-Kesehatan,Jakarta Raya,4.98,20.1000,637.70,632.30,635,630,640,B3,70,1407,PK,PU,PPU,PBM,PM,LBI,LBE,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f2c695c6-00da-4ed2-a1f4-06b70e2bedf5,UNIVERSITAS SUMATERA UTARA,BAHASA INGGRIS,11213059,D3,Soshum,Soshum-Sosial,Sumatera Utara,3.16,31.6750,662.70,657.30,660,655,665,A3,40,1267,PBM,PU,PPU,PK,LBE,LBI,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f2ee30bd-006c-431c-b1c4-8580e6a80613,UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN IPS,17121061,S1,Soshum,Soshum-Sosial,Sulawesi Selatan,28.69,3.4857,507.70,502.30,505,500,510,B2,35,122,PBM,PU,PPU,PK,LBI,LBE,PM,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
f2f3aa7f-1c00-445c-82c8-9b420ddb9d81,UNIVERSITAS SYIAH KUALA,STATISTIKA,11111030,S1,Saintek,Saintek-Sains,Aceh,16.03,6.2381,552.70,547.30,550,545,555,C2,42,262,PK,PU,PPU,PBM,PM,LBE,LBI,0.18,0.15,0.15,0.12,0.2,0.15,0.05,"Rp500,000.00","Rp1,000,000.00","Rp11,623,838.00","Rp13,173,683.00","Rp15,498,450.00",500000.0,15498450.0
